"Unicode","hyoushi","nihonn","yomi","itai"
"4E00","一","J0-306C","ひとつ ひとたび はじめ ; イチ イツ","0-5F0C(弌) 0-58F9(壹) 2-58F9(壹)"
"4E01","丁","J0-437A","ひのと あたる よぼろ ; テイ チョウ トウ",NA
"4E02","丂","J14-2122","さまたげられる ; コウ",NA
"4E03","七","J0-3C37","ななつ ななたび ; シチ シツ","0-67D2(柒) 2-67D2(柒)"
"4E04","丄","J1-3022","うえ かみ ; ショウ",NA
"4E05","丅","J1-3023","しも ; カ",NA
"4E06","丆",NA,NA,NA
"4E07","万","J0-4B7C","よろず ; マン バン","0-534D(卍) 0-842C(萬) 1-4E07(万) 4-4E07(万) 4-842C(萬)"
"4E08","丈","J0-3E66","たけ だけ ; ジョウ チョウ",NA
"4E09","三","J0-3B30","みつ みたび ; サン","0-53C1(叁) 2-53C1(叁)"
"4E0A","上","J0-3E65","うえ かみ のぼる ; ジョウ ショウ",NA
"4E0B","下","J0-323C","した しも もと ; カ ゲ",NA
"4E0C","丌","J1-3024","その それ だい ; キ ギ",NA
"4E0D","不","J0-4954","せず にあらず いなや ; フ ブ フツ ヒ",NA
"4E0E","与","J0-4D3F","あたえる くみする ともに ; ヨ","0-8207(與) 4-8207(與)"
"4E0F","丏","J4-2123","みえぬ ; ベン メン",NA
"4E10","丐","J0-5022","こう ; カイ カツ","0-5303(匃)"
"4E11","丑","J0-312F","うし ; チュウ チュ","1-4E11(丑) 4-4E11(丑) 4-919C(醜)"
"4E12","丒","J14-2124","うし ; チュウ",NA
"4E13","专",NA,"もっぱら ; セン","4-5C08(專)"
"4E14","且","J0-336E","かつ ; シャ ショ",NA
"4E15","丕","J0-5023","おおきい ; ヒ","2-4EF3(仳)"
"4E16","世","J0-4024","よ ; セ セイ",NA
"4E17","丗","J0-5242","よ ; セイ セ",NA
"4E18","丘","J0-3556","おか ; キュウ","0-3400(㐀) 0-5775(坵)"
"4E19","丙","J0-4A3A","ひのえ ; ヘイ ヒョウ",NA
"4E1A","业",NA,NA,"4-696D(業)"
"4E1B","丛",NA,NA,"4-53E2(叢)"
"4E1C","东",NA,NA,"0-6771(東) 4-6771(東)"
"4E1D","丝",NA,NA,"4-7D72(絲)"
"4E1E","丞","J0-3E67","すくう たすける ; ショウ ジョウ",NA
"4E1F","丟","J1-3026","さる なげうつ ; チュウ チュ","0-4E22(丢) 1-4E22(丢)"
"4E20","丠",NA,"おか ; キュウ",NA
"4E21","両","J0-4E3E","ふたつ ; リョウ","0-5169(兩) 0-4E24(两)"
"4E22","丢",NA,"さる なげうつ ; チュウ チュ","0-4E1F(丟) 1-4E22(丢) 4-4E1F(丟) 4-4E22(丢)"
"4E23","丣","J1-3027","とり ; ユウ",NA
"4E24","两","J1-3028","ふたつ ; リョウ","0-4E21(両) 0-5169(兩) 1-4E24(两) 4-4E24(两) 4-5169(兩)"
"4E25","严",NA,NA,"4-56B4(嚴)"
"4E26","並","J0-4A42","なみ ならべる ならびに ; ヘイ","0-5E77(幷) 0-5E76(并) 0-7ADD(竝) 1-5E76(并)"
"4E27","丧",NA,NA,"4-55AA(喪)"
"4E28","丨","J13-2E24","すすむ しりぞく ; コン シ ジョ ニョ",NA
"4E29","丩","J4-2125","まつわる ; キュウ",NA
"4E2A","个","J0-5024","こ ひ ; カ コ","0-500B(個) 0-7B87(箇) 1-4E2A(个) 2-500B(個) 4-4E2A(个) 4-500B(個)"
"4E2B","丫","J14-2126","ふたまた あげまき ; ア",NA
"4E2C","丬","J4-702E",NA,NA
"4E2D","中","J0-4366","なか うち あたる ; チュウ","2-585A(塚)"
"4E2E","丮","J14-2127","もつ とる ; ケキ キャク",NA
"4E2F","丯","J13-2E25","さんらんする ; カイ",NA
"4E30","丰","J13-2E26","みめよい しげる ; ホウ フ フウ ブ","1-4E30(丰) 4-4E30(丰) 4-8C50(豐)"
"4E31","丱","J0-5025","あげまき あらがね ; カン コウ ケン",NA
"4E32","串","J0-367A","くし つらぬく ; セン カン",NA
"4E33","丳",NA,"くし ; サン セン",NA
"4E34","临",NA,NA,"4-81E8(臨)"
"4E35","丵","J1-302E","くさのむらがり ; サク",NA
"4E36","丶","J0-5026","てん ちょぼ しるし ; チュ",NA
"4E37","丷",NA,NA,NA
"4E38","丸","J0-345D","まるい まるめる たま ; ガン",NA
"4E39","丹","J0-4330","あか に ; タン",NA
"4E3A","为",NA,NA,"4-70BA(為)"
"4E3B","主","J0-3C67","ぬし おも あるじ ; シュ ス",NA
"4E3C","丼","J0-5027","どんぶり ; セイ タン ショウ","2-4E95(井)"
"4E3D","丽",NA,"うるわし ; レイ","4-9E97(麗)"
"4E3E","举",NA,"あげる ; キョ","4-8209(舉)"
"4E3F","丿","J0-5028","もとる ; ヘツ ヘチ ヨウ",NA
"4E40","乀","J14-2128","まがる ; フツ ブチ",NA
"4E41","乁","J1-3030","ながれる ; イ",NA
"4E42","乂","J0-5029","かる おさめる おさまる ; ガイ ゲ",NA
"4E43","乃","J0-4735","すなわち の ; ダイ アイ ナイ","0-8FFA(迺) 0-5EFC(廼)"
"4E44","乄","J1-3031","しめ して",NA
"4E45","久","J0-3557","ひさしい ; キュウ ク",NA
"4E46","乆",NA,"ひさしい ; キュウ ク",NA
"4E47","乇","J14-2129","タク チャク",NA
"4E48","么","J4-212A","エウ","0-5E7A(幺) 1-4E48(么) 4-4E48(么) 4-5E7A(幺) 4-9EBC(麼) 4-9EBD(麽)"
"4E49","义",NA,NA,"0-7FA9(義) 1-4E49(义) 4-4E49(义) 4-7FA9(義)"
"4E4A","乊",NA,NA,NA
"4E4B","之","J0-4737","ゆく これ の ; シ",NA
"4E4C","乌",NA,NA,"4-70CF(烏)"
"4E4D","乍","J0-4663","たちまち ながら ; サク サ",NA
"4E4E","乎","J0-3843","よ かな か ; コ",NA
"4E4F","乏","J0-4B33","とぼしい ; ボウ",NA
"4E50","乐",NA,NA,"1-4E50(乐) 4-4E50(乐) 4-6A02(樂)"
"4E51","乑","J14-212C","ならびたつ ; ギン ゴン",NA
"4E52","乒",NA,"ヘイ",NA
"4E53","乓",NA,"ハウ",NA
"4E54","乔",NA,NA,"0-55AC(喬) 1-4E54(乔) 4-4E54(乔) 4-55AC(喬)"
"4E55","乕","J0-6949","とら ; コ",NA
