"column1","column2"
"1級","弌"
"1級","丐"
"1級","丕"
"1級","个"
"1級","丱"
"1級","丶"
"1級","丿"
"1級","乂"
"1級","乖"
"1級","乘"
"1級","亂"
"1級","亅"
"1級","豫"
"1級","亊"
"1級","舒"
"1級","弍"
"1級","于"
"1級","亞"
"1級","亟"
"1級","亠"
"1級","亢"
"1級","亰"
"1級","亳"
"1級","亶"
"1級","从"
"1級","仍"
"1級","仄"
"1級","仆"
"1級","仂"
"1級","仗"
"1級","仞"
"1級","仭"
"1級","仟"
"1級","价"
"1級","伉"
"1級","佚"
"1級","估"
"1級","佛"
"1級","佝"
"1級","佗"
"1級","佇"
"1級","佶"
"1級","侈"
"1級","侏"
"1級","侘"
"1級","佻"
"1級","佩"
"1級","佰"
"1級","侑"
"1級","佯"
"1級","來"
"1級","侖"
"1級","儘"
"1級","俔"
"1級","俟"
"1級","俎"
"1級","俘"
"1級","俛"
"1級","俑"
"1級","俚"
"1級","俐"
"1級","俤"
"1級","俥"
"1級","倚"
"1級","倨"
"1級","倔"
"1級","倪"
"1級","倥"
"1級","倅"
"1級","伜"
"1級","俶"
"1級","倡"
"1級","倩"
"1級","倬"
"1級","俾"
"1級","俯"
"1級","們"
"1級","倆"
"1級","偃"
"1級","假"
"1級","會"
"1級","偕"
"1級","偐"
"1級","偈"
"1級","做"
"1級","偖"
"1級","偬"
"1級","偸"
"1級","傀"
"1級","傚"
"1級","傅"
"1級","傴"
"1級","僉"
"1級","僊"
"1級","傳"
"1級","僂"
"1級","僖"
"1級","僞"
"1級","僥"
"1級","僭"
"1級","僣"
"1級","僮"
"1級","價"
"1級","僵"
"1級","儉"
"1級","儁"
"1級","儂"
"1級","儖"
"1級","儕"
"1級","儔"
"1級","儚"
"1級","儡"
"1級","儺"
"1級","儷"
"1級","儼"
"1級","儻"
"1級","儿"
"1級","兀"
"1級","兒"
"1級","兌"
"1級","兔"
"1級","兢"
"1級","竸"
"1級","兩"
"1級","兪"
"1級","兮"
"1級","冀"
"1級","冂"
"1級","囘"
"1級","册"
"1級","冉"
"1級","冏"
"1級","冑"
"1級","冓"
"1級","冕"
"1級","冖"
"1級","冤"
"1級","冦"
"1級","冢"
"1級","冩"
"1級","冪"
"1級","冫"
"1級","决"
"1級","冱"
"1級","冲"
"1級","冰"
"1級","况"
"1級","冽"
"1級","凅"
"1級","凉"
"1級","凛"
"1級","几"
"1級","處"
"1級","凩"
"1級","凭"
"1級","凰"
"1級","凵"
"1級","凾"
"1級","刄"
"1級","刋"
"1級","刔"
"1級","刎"
"1級","刧"
"1級","刪"
"1級","刮"
"1級","刳"
"1級","剏"
"1級","剄"
"1級","剋"
"1級","剌"
"1級","剞"
"1級","剔"
"1級","剪"
"1級","剴"
"1級","剩"
"1級","剳"
"1級","剿"
"1級","剽"
"1級","劍"
"1級","劔"
"1級","劒"
"1級","剱"
"1級","劈"
"1級","劑"
"1級","辨"
"1級","辧"
"1級","劬"
"1級","劭"
"1級","劼"
"1級","劵"
"1級","勁"
"1級","勍"
"1級","勗"
"1級","勞"
"1級","勣"
"1級","勦"
"1級","飭"
"1級","勠"
"1級","勳"
"1級","勵"
"1級","勸"
"1級","勹"
"1級","匆"
"1級","匈"
"1級","甸"
"1級","匍"
"1級","匐"
"1級","匏"
"1級","匕"
"1級","匚"
"1級","匣"
"1級","匯"
"1級","匱"
"1級","匳"
"1級","匸"
"1級","區"
"1級","卆"
"1級","卅"
"1級","丗"
"1級","卉"
"1級","卍"
"1級","凖"
"1級","卞"
"1級","卩"
"1級","卮"
"1級","夘"
"1級","卻"
"1級","卷"
"1級","厂"
"1級","厖"
"1級","厠"
"1級","厦"
"1級","厥"
"1級","厮"
"1級","厰"
"1級","厶"
"1級","參"
"1級","簒"
"1級","雙"
"1級","叟"
"1級","曼"
"1級","燮"
"1級","叮"
"1級","叨"
"1級","叭"
"1級","叺"
"1級","吁"
"1級","吽"
"1級","呀"
"1級","听"
"1級","吭"
"1級","吼"
"1級","吮"
"1級","吶"
"1級","吩"
"1級","吝"
"1級","呎"
"1級","咏"
"1級","呵"
"1級","咎"
"1級","呟"
"1級","呱"
"1級","呷"
"1級","呰"
"1級","咒"
"1級","呻"
"1級","咀"
"1級","呶"
"1級","咄"
"1級","咐"
"1級","咆"
"1級","哇"
"1級","咢"
"1級","咸"
"1級","咥"
"1級","咬"
"1級","哄"
"1級","哈"
"1級","咨"
"1級","咫"
"1級","哂"
"1級","咤"
"1級","咾"
"1級","咼"
"1級","哘"
"1級","哥"
"1級","哦"
"1級","唏"
"1級","唔"
"1級","哽"
"1級","哮"
"1級","哭"
"1級","哢"
"1級","唹"
"1級","啀"
"1級","啣"
"1級","啌"
"1級","售"
"1級","啜"
"1級","啅"
"1級","啖"
"1級","啗"
"1級","唸"
"1級","唳"
"1級","啝"
"1級","喙"
"1級","喀"
"1級","咯"
"1級","喊"
"1級","喟"
"1級","啻"
"1級","啾"
"1級","喘"
"1級","喞"
"1級","單"
